,id,job_title,connections,location,fit
0,1,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
1,2,native english teacher epik english program korea,500,Kanada,
2,3,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
3,4,people development coordinator ryan,500,"Denton, Texas",
4,5,advisory board member celal bayar university,500,"İzmir, Türkiye",
5,6,aspiring human resources specialist,1,Greater New York City Area,
6,7,student humber college aspiring human resources generalist,61,Kanada,
7,8,hr senior specialist,500,San Francisco Bay Area,
8,9,student humber college aspiring human resources generalist,61,Kanada,
9,10,seeking human resources hris generalist positions,500,Greater Philadelphia Area,
10,11,student chapman university,2,"Lake Forest, California",
11,12,svp chro marketing communications csr officer engie houston woodlands energy gphr sphr,500,"Houston, Texas Area",
12,13,human resources coordinator intercontinental buckhead atlanta,500,"Atlanta, Georgia",
13,14,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
14,15,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
15,16,native english teacher epik english program korea,500,Kanada,
16,17,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
17,18,people development coordinator ryan,500,"Denton, Texas",
18,19,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
19,20,native english teacher epik english program korea,500,Kanada,
20,21,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
21,22,people development coordinator ryan,500,"Denton, Texas",
22,23,advisory board member celal bayar university,500,"İzmir, Türkiye",
23,24,aspiring human resources specialist,1,Greater New York City Area,
24,25,student humber college aspiring human resources generalist,61,Kanada,
25,26,hr senior specialist,500,San Francisco Bay Area,
26,27,aspiring human resources management student seeking internship,500,"Houston, Texas Area",
27,28,seeking human resources opportunities,390,"Chicago, Illinois",
28,29,aspiring human resources management student seeking internship,500,"Houston, Texas Area",
29,30,seeking human resources opportunities,390,"Chicago, Illinois",
30,31,ct bauer college business graduate magna cum laude aspiring human resources professional,85,"Houston, Texas",
31,32,native english teacher epik english program korea,500,Kanada,
32,33,aspiring human resources professional,44,"Raleigh-Durham, North Carolina Area",
33,34,people development coordinator ryan,500,"Denton, Texas",
34,35,advisory board member celal bayar university,500,"İzmir, Türkiye",
35,36,aspiring human resources specialist,1,Greater New York City Area,
36,37,student humber college aspiring human resources generalist,61,Kanada,
37,38,hr senior specialist,500,San Francisco Bay Area,
38,39,student humber college aspiring human resources generalist,61,Kanada,
39,40,seeking human resources hris generalist positions,500,Greater Philadelphia Area,
40,41,student chapman university,2,"Lake Forest, California",
41,42,svp chro marketing communications csr officer engie houston woodlands energy gphr sphr,500,"Houston, Texas Area",
